|        in        |loa|       out        |
| 0000000000000000 | 0 | 0000000000000000 |
| 1111111111111111 | 0 | 1111111111111111 |
| 0000000000000000 | 1 | 1111111111111111 |
| 1010101010101010 | 1 | 1111111111111111 |
| 0000000000000000 | 0 | 0000000000000000 |
| 1111000011110000 | 1 | 1111111111111111 |
| 0000111100001111 | 0 | 0000111100001111 |
| 1111111111111111 | 1 | 1111111111111111 |
| 0000000000000000 | 0 | 0000000000000000 |
| 1111111111111111 | 0 | 1111111111111111 |
| 0000000000000000 | 1 | 1111111111111111 |
| 1010101010101010 | 1 | 1111111111111111 |
| 0000000000000000 | 0 | 0000000000000000 |
| 1111000011110000 | 1 | 1111111111111111 |
| 0000111100001111 | 0 | 0000111100001111 |
| 1111111111111111 | 1 | 1111111111111111 |
| 0000000000000000 | 0 | 0000000000000000 |
